index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99
971,67.4537,25.2209,52.4296,15.2735,59.2076,28.5181,68.9951,15.3586,60.0794,21.2396,60.4727,16.9459,57.0088,26.4279,67.6306,23.2175,71.2575,26.9220,59.1144,24.9441,75.8344,25.7274,63.8321,26.3469,60.7009,17.9938,61.2659,23.3953,71.5490,26.9658,68.3774,16.3251,66.3948,21.2503,67.4162,22.6081,64.1839,17.3397,56.6934,17.8791,66.7359,33.4456,62.3014,26.7005,63.7523,23.9461,71.8226,16.2112,65.6233,12.2400,71.2444,28.7937,70.1236,27.2969,63.4330,27.0718,58.1746,20.2412,69.7656,22.3406,67.3556,15.4286,61.0252,28.8272,59.9898,25.7559,68.2391,28.4692,65.5735,22.9511,65.2559,16.5887,59.3230,21.5275,62.3012,13.5583,68.5193,34.8672,63.5720,15.5567,63.3241,33.2781,65.2395,17.8668,71.0740,30.3980,61.5071,17.4679,62.8693,18.4409,53.6542,22.9442,61.9364,17.5679,64.3354,29.8200,59.6624,22.9332,61.8246,24.3469
972,67.3127,24.9561,52.4338,15.5735,59.1870,28.2188,68.8095,15.1229,60.0676,21.5394,60.2060,17.0834,57.3007,26.4971,67.7707,23.4828,71.0027,26.7636,59.1394,25.2430,75.6876,25.9891,63.5463,26.4381,60.6101,17.7079,61.3977,23.6648,71.2916,27.1198,68.1617,16.1166,66.6715,21.3662,67.6972,22.7131,64.4694,17.2477,56.9110,18.0857,66.8421,33.1651,62.0684,26.5116,64.0042,23.7831,71.6875,15.9433,65.9127,12.1611,71.3112,28.5012,69.8356,27.3810,63.4464,27.3715,58.0960,19.9517,69.5480,22.1340,67.0578,15.3926,60.7334,28.7573,60.2683,25.6443,68.0521,28.7038,65.6850,22.6726,65.4588,16.3677,59.3051,21.2281,62.4590,13.3031,68.7958,34.7508,63.7261,15.8141,63.6232,33.2552,65.2619,18.1659,71.1712,30.1142,61.2299,17.5824,62.5857,18.3431,53.8826,22.7497,62.1683,17.3776,64.5089,30.0648,59.8869,23.1321,61.6131,24.5597
973,67.1492,24.7046,52.4641,15.8720,59.1925,27.9189,68.6040,14.9043,60.0820,21.8390,59.9284,17.1971,57.5976,26.5405,67.8872,23.7593,70.7627,26.5836,59.1904,25.5387,75.5186,26.2369,63.2536,26.5041,60.4948,17.4309,61.5525,23.9218,71.0485,27.2957,67.9286,15.9277,66.9370,21.5058,67.9863,22.7931,64.7619,17.1809,57.1457,18.2725,66.9235,32.8763,61.8526,26.3032,64.2409,23.5988,71.5296,15.6883,66.2079,12.1076,71.3522,28.2040,69.5414,27.4396,63.4337,27.6712,58.0429,19.6564,69.3133,21.9471,66.7579,15.3826,60.4489,28.6623,60.5360,25.5089,67.8455,28.9213,65.8204,22.4049,65.6802,16.1653,59.2612,20.9313,62.6385,13.0627,69.0611,34.6108,63.8572,16.0840,63.9192,33.2063,65.2582,18.4659,71.2434,29.8230,60.9636,17.7207,62.2946,18.2704,54.1271,22.5759,62.4159,17.2082,64.7030,30.2936,60.1280,23.3107,61.4209,24.7901
974,66.9813,24.4560,52.5203,16.1667,59.2242,27.6206,68.3803,14.7044,60.1224,22.1363,59.6420,17.2862,57.8971,26.5580,67.9791,24.0448,70.5393,26.3833,59.2669,25.8287,75.3285,26.4690,62.9563,26.5443,60.4041,17.1450,61.7291,24.1643,70.8217,27.4921,67.6799,15.7599,67.1894,21.6680,68.2813,22.8477,65.0590,17.1399,57.3958,18.4382,66.9793,32.5816,61.6559,26.0767,64.4928,23.4358,71.3501,15.4479,66.5067,12.0801,71.4189,27.9115,69.2432,27.4724,63.4471,27.9709,58.0157,19.3576,69.0632,21.7815,66.4584,15.3988,60.1737,28.5429,60.7909,25.3507,67.6206,29.1199,65.9786,22.1500,65.9184,15.9829,59.2434,20.6318,62.8382,12.8389,69.3132,34.4481,63.9642,16.3642,64.2098,33.1317,65.2806,18.7651,71.2899,29.5267,60.7104,17.8816,61.9983,18.2234,54.3858,22.4240,62.6773,17.0611,64.9162,30.5046,60.3837,23.4676,61.2496,25.0363
975,66.8202,24.2029,52.6019,16.4554,59.2818,27.3261,68.1400,14.5248,60.1886,22.4289,59.3488,17.3500,58.1969,26.5492,68.0458,24.3373,70.2993,26.2033,59.3685,26.1110,75.1190,26.6837,62.6566,26.5585,60.3386,16.8522,61.9262,24.3905,70.5787,27.6679,67.4176,15.6144,67.4267,21.8516,68.5705,22.9278,65.3587,17.1249,57.6593,18.5815,67.0093,32.2831,61.4796,25.8339,64.7579,23.2954,71.1503,15.2241,66.8067,12.0788,71.5109,27.6260,68.9433,27.4791,63.4866,28.2683,58.0147,19.0576,68.7996,21.6383,66.1585,15.3889,59.9099,28.3999,61.0586,25.2152,67.3793,29.2981,66.1585,21.9099,66.1716,15.8220,59.2517,20.3319,63.0567,12.6333,69.5502,34.2641,64.0464,16.6527,64.4928,33.0322,65.3290,19.0611,71.3104,29.2274,60.4723,18.0640,61.6990,18.2023,54.6568,22.2953,62.9506,16.9373,65.1471,30.6961,60.6521,23.6016,61.1004,25.2966
976,66.6662,23.9455,52.7084,16.7358,59.3648,27.0378,67.8850,14.3668,60.2800,22.7146,59.0624,17.4391,58.4952,26.5168,68.0867,24.6345,70.0445,26.0449,59.4942,26.3834,74.8916,26.8794,62.3569,26.5464,60.2989,16.5548,62.1422,24.5987,70.3212,27.8219,67.1436,15.4923,67.6471,22.0551,68.8515,23.0327,65.6585,17.1361,57.9344,18.7012,67.0132,31.9831,61.2829,25.6074,65.0098,23.1324,70.9318,15.0186,67.1056,12.1036,71.6275,27.3495,68.6439,27.4596,63.5518,28.5611,58.0398,18.7587,68.5245,21.5185,65.8607,15.3529,59.6597,28.2345,61.3134,25.0570,67.1234,29.4547,66.3585,21.6863,66.4379,15.6837,59.2861,20.0339,63.2922,12.4476,69.7702,34.0602,64.1343,16.9396,64.7661,32.9083,65.3514,19.3603,71.3048,28.9274,60.2509,18.2665,61.3991,18.2075,54.9380,22.1907,63.2336,16.8378,65.3938,30.8669,60.9312,23.7117,60.9291,25.5429
977,66.5351,23.6756,52.8390,17.0059,59.4726,26.7579,67.6172,14.2316,60.3960,22.9913,58.7847,17.5528,58.7895,26.4585,68.1016,24.9341,69.8045,25.8649,59.6432,26.6438,74.6479,27.0544,62.0593,26.5083,60.2852,16.2552,62.3756,24.7872,70.0513,27.9529,66.8812,15.3467,67.8489,22.2771,69.1223,23.1618,65.9561,17.1734,58.2189,18.7965,66.9977,31.6835,61.0671,25.3990,65.2465,22.9481,70.6961,14.8329,67.4013,12.1544,71.7195,27.0640,68.3474,27.4141,63.6424,28.8472,58.0909,18.4631,68.2401,21.4233,65.5672,15.2910,59.4248,28.0479,61.5536,24.8772,66.8548,29.5883,66.5773,21.4810,66.7151,15.5692,59.3463,19.7400,63.5431,12.2830,69.9716,33.8379,64.2468,17.2177,65.0275,32.7611,65.3477,19.6603,71.2730,28.6291,60.0480,18.4875,61.1007,18.2387,55.2272,22.1110,63.5069,16.7140,65.6544,31.0154,61.2188,23.7971,60.7369,25.7733
978,66.4281,23.3953,52.9926,17.2636,59.6044,26.4884,67.3386,14.1203,60.5356,23.2568,58.5181,17.6903,59.0775,26.3748,68.0903,25.2339,69.5811,25.6647,59.8143,26.8902,74.3900,27.2076,61.7662,26.4444,60.2978,15.9554,62.6245,24.9547,69.7711,28.0599,66.6326,15.1789,68.0306,22.5158,69.4033,23.2668,66.2494,17.2365,58.4939,18.9163,66.9681,31.3850,60.8457,25.1966,65.4662,22.7439,70.4452,14.6685,67.6914,12.2307,71.7862,26.7715,68.0560,27.3430,63.7575,29.1242,58.1161,18.1641,67.9650,21.3035,65.2693,15.2549,59.2070,27.8415,61.7771,24.6771,66.5756,29.6981,66.8131,21.2956,67.0014,15.4793,59.4320,19.4525,63.8074,12.1410,70.1529,33.5988,64.3831,17.4849,65.2751,32.5917,65.3178,19.9588,71.2153,28.3347,59.8651,18.7253,60.8062,18.2958,55.5222,22.0567,63.7683,16.5668,65.9270,31.1407,61.5127,23.8570,60.5396,25.9992
979,66.3459,23.1068,53.1680,17.5070,59.7592,26.2314,67.0514,14.0337,60.6979,23.5091,58.2405,17.8040,59.3572,26.2662,68.0529,25.5316,69.3729,25.4487,60.0063,27.1208,74.1196,27.3377,61.4798,26.3552,60.3364,15.6579,62.8870,25.0998,69.4825,28.1420,66.3995,14.9900,68.1908,22.7695,69.6925,23.3469,66.5361,17.3249,58.7575,19.0595,66.9646,31.0850,60.6428,24.9756,65.6673,22.5213,70.1810,14.5265,67.9738,12.3320,71.8273,26.4743,67.7719,27.2467,63.8963,29.3901,58.1151,17.8641,67.6805,21.2083,64.9695,15.2450,59.0081,27.6170,62.0172,24.4972,66.2879,29.7830,67.0642,21.1315,67.2943,15.4147,59.4922,19.1586,64.0830,12.0226,70.3126,33.3449,64.5105,17.7565,65.5069,32.4013,65.2620,20.2535,71.1322,28.0464,59.6622,18.9463,60.5178,18.3784,55.8209,22.0284,64.0416,16.4430,66.2095,31.2418,61.8108,23.8912,60.3626,26.2415
980,66.2892,22.8122,53.3640,17.7341,59.8910,25.9619,66.7577,13.9725,60.8815,23.7464,57.9540,17.8931,59.6264,26.1338,67.9897,25.8249,69.1468,25.2516,60.1774,27.3672,73.8390,27.4437,61.2022,26.2414,60.4008,15.3649,63.1612,25.2216,69.1879,28.1987,66.1508,14.8222,68.3282,23.0361,69.9875,23.4014,66.8140,17.4379,59.0076,19.2252,66.9873,30.7858,60.4599,24.7378,65.8483,22.2820,69.9053,14.4081,68.2463,12.4576,71.8422,26.1747,67.4972,27.1260,64.0577,29.6430,58.0879,17.5654,67.4054,21.0885,64.6699,15.2612,58.8295,27.3759,62.2721,24.3390,65.9939,29.8426,67.3001,20.9461,67.5918,15.3758,59.5779,18.8711,64.3679,11.9286,70.4496,33.0780,64.6221,18.0350,65.7213,32.1915,65.1808,20.5423,71.0243,27.7665,59.4793,19.1841,60.2377,18.4858,56.1209,22.0254,64.3246,16.3435,66.4821,31.3671,62.1107,23.8992,60.2075,26.4982
