index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
51,8.7891,6.8942,-9.2678,-19.2843,-5.6713,7.2255,7.0261,2.9005,-8.1367,-8.0209,-1.3637,1.1349,1.3211,1.0333,0.6727,0.3180,-0.0209,-0.9563,-2.1184,-2.9898,-3.5548,-3.8461,-3.9161,-3.9598,-3.9921,-4.0388,-3.9867,-3.8880,-3.7591,-3.6231,-3.4965,-3.3792,-3.2582,-3.1229,-2.9621,-2.7529,-2.5332
52,-7.7665,5.4977,-2.4433,-19.8550,-16.3730,-2.1449,7.0645,4.8786,-2.2442,-7.2668,-2.1865,1.3709,2.0694,1.5432,0.9042,0.4508,0.1612,-0.5675,-1.5727,-2.4542,-3.0458,-3.4372,-3.6497,-3.8762,-4.1245,-4.2735,-4.2332,-4.1464,-4.0365,-3.9231,-3.8188,-3.7132,-3.5891,-3.4352,-3.2483,-3.0211,-2.7885
53,-23.5373,9.8013,5.4909,-15.9691,-23.3585,-14.5492,5.7440,5.7421,1.2243,-2.0416,-3.3791,-4.7386,-6.1323,-6.0982,-5.5100,-4.9363,-4.4846,-4.0793,-4.0484,-4.0743,-4.0383,-3.8487,-3.6763,-3.6802,-3.6782,-3.5149,-3.2773,-3.1789,-3.1060,-3.0790,-3.0999,-3.1418,-3.1562,-3.1130,-2.9976,-2.7835,-2.5613
54,-28.2846,11.6386,12.4656,-3.1571,-17.9639,-19.9041,1.3413,6.3503,1.7908,-2.0091,-5.0437,-6.7205,-8.5883,-8.8732,-7.8446,-6.9102,-6.3078,-5.6259,-5.1995,-4.7762,-4.3736,-4.0157,-3.6773,-3.3483,-3.0495,-2.8469,-2.8379,-2.8958,-2.9699,-3.0590,-3.1514,-3.2119,-3.2088,-3.1418,-3.0198,-2.8104,-2.6091
55,-30.5956,15.8694,19.1946,5.5300,-9.5922,-20.5322,-4.4653,7.3302,5.4650,0.3716,-5.0933,-7.3419,-9.2751,-9.3280,-8.4514,-7.5932,-6.9693,-6.1457,-5.6658,-5.1509,-4.6863,-4.2736,-3.8616,-3.5570,-3.2421,-2.8523,-2.5827,-2.5441,-2.5569,-2.6334,-2.7664,-2.9161,-3.0160,-3.0281,-2.9491,-2.7479,-2.5547
56,-18.4775,24.6686,24.5125,10.8224,-2.5428,-17.4430,-13.7655,1.3004,5.1124,0.4256,-3.6402,-4.3703,-4.9047,-5.2822,-5.4159,-5.4556,-5.4032,-5.1457,-5.0286,-4.9332,-4.7563,-4.5671,-4.3673,-4.2372,-4.0574,-3.6832,-3.2939,-3.1527,-3.0450,-2.9809,-2.9634,-2.9819,-2.9872,-2.9158,-2.7758,-2.5692,-2.3780
57,-9.0523,32.0332,31.9416,18.6640,7.4131,-9.3549,-18.7857,-6.5787,4.3926,0.5072,-2.0176,-0.4300,0.6616,0.6950,0.1774,-0.3640,-0.7549,-1.2961,-1.8878,-2.4796,-2.9331,-3.2543,-3.3924,-3.4870,-3.5718,-3.5676,-3.4436,-3.3650,-3.2961,-3.2486,-3.2169,-3.1849,-3.1297,-3.0165,-2.8507,-2.6479,-2.4529
58,-4.2592,32.5538,31.5784,20.1686,11.5646,-1.3160,-21.9059,-12.6799,2.1132,2.0335,0.3664,1.6463,1.7740,1.2566,0.6585,0.1763,-0.1791,-0.8211,-1.5300,-2.1775,-2.5667,-2.8390,-2.9784,-3.1167,-3.2802,-3.3169,-3.1603,-3.0249,-2.8827,-2.7640,-2.6812,-2.6348,-2.5977,-2.5243,-2.3991,-2.2327,-2.0717
59,-8.3471,24.2391,26.9989,18.3976,13.3580,4.4960,-24.4973,-16.3294,-2.4068,-1.1711,-0.9990,2.3418,4.5089,5.1782,5.0887,4.7639,4.3348,3.1821,1.6883,0.2136,-1.0841,-2.1621,-2.8133,-3.1466,-3.3476,-3.4353,-3.3965,-3.3281,-3.2342,-3.1267,-3.0187,-2.9314,-2.8663,-2.7628,-2.6078,-2.4185,-2.2420
60,-19.8302,23.5638,24.3627,15.8590,11.4631,6.9429,-19.8109,-17.7143,-4.9798,-3.5329,-2.5519,-0.9513,1.0352,2.1441,2.1931,1.7091,1.0538,-0.3048,-1.6428,-2.8139,-3.6090,-4.0515,-4.1445,-4.0972,-3.9639,-3.7676,-3.5476,-3.4493,-3.3678,-3.3029,-3.2466,-3.1917,-3.1224,-3.0084,-2.8526,-2.6381,-2.4362
61,-15.8011,23.5496,20.4829,10.7940,5.9646,-0.1151,-21.6972,-18.3635,-5.6470,-4.0707,-4.3819,-3.4178,-1.3092,0.4542,0.9628,0.7793,0.4080,-0.5594,-1.9741,-3.4773,-4.5493,-4.9223,-4.8327,-4.5801,-4.2379,-3.8579,-3.6038,-3.5472,-3.5285,-3.5324,-3.5369,-3.5108,-3.4234,-3.2672,-3.0691,-2.8272,-2.5877
